Elemento,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Color_Munsell,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Color_Baño,Engobe,Color_Engobe,Color_Eng _o_baño2
cuerpo,Reductora,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"8,00","4,00",Fino,Fino,Dura,5YR5/4,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Dura,75YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"7,00","3,00",Erosionado,Erosionado,Raya con la uña,5YR6/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Raya con la uña,5YR6/8,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"10,00","3,00",Erosionado,Fino,Raya con la uña,5YR6/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"8,00","3,00",Erosionado,Pulido,Dura,75YR4/2,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"9,00","2,00",Fino,Fino,Dura,5YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Dura,75YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Dura,5YR5/6,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"10,00","3,00",Fino,Fino,Raya con la uña,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"9,00","3,00",Fino,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
