,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Engobe,Cluster
185,0,3,0,1,0,9,4,2,1,0,0,0,0,0,0,0,2
186,0,3,0,1,0,7,4,2,1,0,0,0,0,0,0,0,2
187,0,1,6,1,0,6,3,2,2,1,2,0,0,0,0,0,1
188,1,0,3,0,0,5,2,3,3,0,0,0,0,0,0,0,2
189,1,0,3,0,0,5,3,3,3,0,0,8,2,2,0,0,0
190,1,0,3,0,0,6,2,3,3,0,2,0,0,0,0,0,2
191,1,0,3,0,0,6,3,3,3,0,0,0,0,0,0,0,2
192,1,2,5,1,0,14,3,2,1,0,0,0,0,0,0,0,3
193,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,2
194,1,2,0,0,0,9,6,1,3,1,1,0,0,0,0,0,2
195,1,1,5,1,0,5,3,1,1,0,0,0,0,0,0,0,1
196,1,1,0,1,0,9,7,0,0,0,1,0,0,0,0,0,2
197,1,1,0,1,0,10,5,0,0,0,1,0,0,0,0,0,2
198,1,1,0,1,0,12,7,2,2,0,0,0,0,0,0,0,3
199,1,1,0,1,0,7,3,2,2,0,0,0,0,0,0,0,2
200,1,1,6,0,0,7,3,2,2,1,0,0,0,0,0,0,1
201,1,1,6,0,0,8,4,2,2,1,0,0,0,0,0,0,1
202,0,3,2,1,0,8,3,1,1,0,0,0,0,0,0,0,2
203,0,3,6,0,0,10,4,2,2,1,0,0,0,0,0,0,3
204,0,3,2,1,0,8,3,1,1,0,0,0,0,0,0,0,2
205,0,3,2,0,0,7,2,1,1,0,0,0,0,0,0,0,2
206,0,3,1,0,0,8,2,2,1,0,0,0,0,0,0,0,2
207,0,0,1,0,0,5,3,3,3,0,0,0,0,0,0,0,2
208,0,2,6,1,0,6,3,2,2,1,0,0,0,0,0,0,1
209,0,1,4,0,0,6,2,2,2,0,0,0,0,0,0,0,1
210,0,1,4,0,0,6,2,2,2,0,0,0,0,0,0,0,1
211,1,2,0,0,0,7,6,1,1,1,0,0,0,0,0,0,2
212,0,2,0,0,0,4,2,1,1,0,0,0,0,0,0,0,2
213,0,2,2,0,0,10,3,2,2,1,1,0,0,0,0,0,2
214,0,2,3,0,0,6,2,1,1,0,0,0,0,0,0,0,2
215,0,2,6,0,0,9,2,2,2,1,0,0,0,0,0,0,1
216,0,2,2,1,0,8,2,2,1,0,0,0,0,0,0,0,2
217,0,2,6,0,0,7,3,2,2,1,2,0,0,0,0,0,1
218,0,3,5,0,0,12,3,1,2,0,0,0,0,0,0,0,3
219,0,2,6,0,0,7,3,1,1,1,0,0,0,0,0,0,1
220,0,2,3,1,0,11,5,1,2,1,0,0,0,0,0,0,3
221,0,1,3,0,0,9,2,2,2,1,0,0,0,0,0,0,2
222,0,2,6,0,0,9,3,2,1,1,1,0,0,0,0,0,1
223,0,2,2,0,0,7,3,1,2,0,0,0,0,0,0,0,2
224,0,2,3,0,0,7,3,2,2,1,0,0,0,0,0,0,2
225,0,2,3,1,0,7,3,1,1,0,0,0,0,0,0,0,2
226,0,2,2,1,0,5,3,2,2,0,0,0,0,0,0,0,2
227,0,2,0,0,0,7,4,2,2,0,0,0,0,0,0,0,2
228,0,2,2,0,0,6,2,2,2,0,0,0,0,0,0,0,2
229,0,2,3,0,0,9,3,2,2,0,0,0,0,0,0,0,2
230,0,2,2,0,0,6,2,2,1,0,0,0,0,0,0,0,2
231,0,1,0,0,0,6,2,2,2,0,0,0,0,0,0,0,2
232,0,1,4,0,0,5,3,2,2,0,0,0,0,0,0,0,1
233,0,1,2,0,0,8,3,2,2,1,0,0,0,0,0,0,2
234,0,1,0,0,0,5,3,2,2,1,0,0,0,0,0,0,2
235,0,1,6,0,0,4,3,3,3,1,0,4,3,1,2,0,1
236,0,2,0,0,1,6,2,2,2,0,0,0,0,0,0,0,2
237,0,1,1,0,0,7,5,2,2,0,0,0,0,0,0,0,2
238,1,1,4,0,0,5,4,1,1,0,0,0,0,0,0,0,1
239,0,1,4,0,0,6,2,3,1,0,0,0,0,0,0,0,1
240,0,2,0,0,0,12,3,2,2,1,1,0,0,0,0,0,3
241,0,2,4,0,0,7,3,2,2,0,0,0,0,0,0,0,1
242,0,2,2,1,0,9,4,2,2,1,0,0,0,0,0,0,2
243,0,2,2,1,0,11,3,2,2,1,0,0,0,0,0,0,3
244,0,2,2,1,0,12,4,1,2,1,0,0,0,0,0,0,3
245,0,2,2,0,0,7,4,2,2,1,0,0,0,0,0,0,2
